Month,Target
2023-01-01,1000000000.0
2023-02-01,1000000000.0
2023-03-01,1000000000.0
2023-04-01,1000000000.0
2023-05-01,1000000000.0
2023-06-01,1000000000.0
2023-07-01,1000000000.0
2023-08-01,1000000000.0
2023-09-01,1000000000.0
2023-10-01,1000000000.0
2023-11-01,1000000000.0
2023-12-01,1000000000.0
2024-01-01,459193710.1815
2024-02-01,422540529.20887506
2024-03-01,137691163.72475
2024-04-01,552065941.2598
2024-05-01,527964562.28925
2024-06-01,545770222.411625
2024-07-01,428309905.524375
2024-08-01,592410547.877
2024-09-01,445800000.0
2024-10-01,514956287.90000004
2024-11-01,508654001.75
2024-12-01,548376614.65
